Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2019-07-30T06:00:00Z,S,0.1,6,,,
S,2019-07-30T12:00:00Z,S,0.6,6,,,
S,2019-07-30T18:00:00Z,S,5,6,,,
S,2019-07-31T00:00:00Z,S,0.1,6,,,
S,2019-07-31T06:00:00Z,S,2,6,,,
S,2019-07-31T12:00:00Z,S,3,6,,,
S,2019-07-31T18:00:00Z,S,0,6,,,
S,2019-08-01T00:00:00Z,S,1,6,,,
S,2019-08-01T06:00:00Z,S,1,6,,,
S,2019-08-01T12:00:00Z,S,0.1,6,,,
S,2019-08-01T18:00:00Z,S,0.2,6,,,
S,2019-08-02T00:00:00Z,S,0,6,,,
S,2019-08-02T06:00:00Z,S,6,6,,,
S,2019-08-02T12:00:00Z,S,0.7,6,,,
S,2019-08-02T18:00:00Z,S,3,6,,,
S,2019-08-03T00:00:00Z,S,0.7,6,,,
S,2019-08-03T06:00:00Z,S,2,6,,,
S,2019-08-03T12:00:00Z,S,1,6,,,
S,2019-08-03T18:00:00Z,S,2,6,,,
S,2019-08-04T00:00:00Z,S,3,6,,,
S,2019-08-04T06:00:00Z,S,3,6,,,
S,2019-08-04T12:00:00Z,S,3,6,,,
S,2019-08-04T18:00:00Z,S,3,6,,,
S,2019-08-05T00:00:00Z,S,1,6,,,
S,2019-08-05T06:00:00Z,S,2,6,,,
S,2019-08-05T12:00:00Z,S,2,6,,,
S,2019-08-05T18:00:00Z,S,0,6,,,
S,2019-08-06T00:00:00Z,S,0,6,,,
S,2019-08-06T06:00:00Z,S,0.1,6,,,
S,2019-08-06T12:00:00Z,S,2,6,,,
S,2019-08-06T18:00:00Z,S,2,6,,,
S,2019-08-07T00:00:00Z,S,0.4,6,,,
S,2019-08-07T06:00:00Z,S,0,6,,,
S,2019-08-07T12:00:00Z,S,1,6,,,
S,2019-08-07T18:00:00Z,S,7,6,,,
S,2019-08-08T00:00:00Z,S,7,6,,,
S,2019-08-08T06:00:00Z,S,0.4,6,,,
S,2019-08-08T12:00:00Z,S,7,6,,,
S,2019-08-08T18:00:00Z,S,2,6,,,
S,2019-08-09T00:00:00Z,S,2,6,,,
S,2019-08-09T06:00:00Z,S,4,6,,,
S,2019-08-09T12:00:00Z,S,2,6,,,
S,2019-08-09T18:00:00Z,S,0,6,,,
S,2019-08-10T00:00:00Z,S,0.7,6,,,
S,2019-08-10T06:00:00Z,S,4,6,,,
S,2019-08-10T12:00:00Z,S,0,6,,,
